LineCode,LineText,OriginalText,Comment,Speaker,StoryNode
line:e1d917,"<sprite tint=1 name=""LeftArrow""> Weißküstenpfad","<sprite tint=1 name=""LeftArrow""> White Coast Trail",,Original,HomeSignStart
line:8e78cb,"Rangerhütte <sprite name=""RightArrow"" tint=1>","Rangers Cabin <sprite name=""RightArrow"" tint=1>",,Original,HomeSignStart
line:2a55e5,"entschuldige, hast du die Uhrzeit?",excuse me do you have the time?,,Original,GoatStart
line:b03acc,"ähm, lass mich mal nachse-","um yeah, let me chec-",,Player,GoatStart
line:445422,na ja... normalerweise weiß ich das schon,see... normally i would know the time,,Original,GoatStart
line:e86981,ich hab meine Uhr verloren,i just lost my watch,,Original,GoatStart
line:b74c71,"oh, ähm","oh, um",,Player,GoatStart
line:78b6fa,sorry,sorry,,Player,GoatStart
line:a60085,sie war echt teuer,it was very expensive,,Original,GoatStart
line:ba52fa,"und unbezahlbar, wenn man an\nden ideellen Wert denkt",and priceless when you\nconsider the sentimental value,,Original,GoatStart
line:3407a1,achso,i see,,Player,GoatStart
line:0d0268,"wenn du sie findest, bringst\ndu sie mir zurück?","if you find it, can you\nbring it back to me?",,Original,GoatStart
line:aa6cf0,klar,sure,,Player,GoatStart
line:e4e4ee,bitte verkauf sie nicht\nim Internet oder so,please don't sell it on\nthe internet or whatever,,Original,GoatStart
line:b427c9,sie bedeutet mir viel,it's very valuable to me,,Original,GoatStart
line:deb271,"nein, keine Sorge","no, don't worry",,Player,GoatStart
line:6a5e2f,ich bring sie sofort zurück,i'll bring it right back,,Player,GoatStart
line:0c1b44,ok,ok,,Original,GoatStart
line:55e682,danke,thanks,,Original,GoatStart
line:1cf998,"<sprite tint=1 name=""UpArrow""> Rangerhütte","<sprite tint=1 name=""UpArrow""> Rangers Cabin",,Original,BeachHutSign
line:6df2cf,"<sprite name=""DownArrow"" tint=1> Weißküstenpfad","<sprite name=""DownArrow"" tint=1> White Coast Trail",,Original,BeachHutSign
line:6794ce,"<sprite tint=1 name=""UpArrow""> Habichtsgipfelpfad\nWeißküstenpfad <sprite name=""RightArrow"" tint=1>","<sprite tint=1 name=""UpArrow""> Hawk Peak Trail\nWhite Coast Trail <sprite name=""RightArrow"" tint=1>",,Original,WhiteCoastSign
line:24d728,"<sprite tint=1 name=""DownArrow""> Sid-Strand\n<sprite tint=1 name=""DownArrow""> Besucherzentrum\n","<sprite tint=1 name=""DownArrow""> Sid Beach\n<sprite tint=1 name=""DownArrow""> Visitor Center\n",,Original,WhiteCoastSign
line:c3feb2,hey! wo willst du denn hin?,hey! where do you think you're going?,Only if the player runs off without talking to the Aunt first.,Original,AuntRunOffStart
line:660020,"oh, äh...","oh, um...",,Player,AuntRunOffStart
line:94ad70,"du willst doch nicht einfach\nabhauen, ohne der alten\nTante May hallo zu sagen?","you're not going to just wander\noff without saying hi to old\nAunt May, are you?",,Original,AuntRunOffStart
line:0377ea,hab dich den ganzen Tag nicht gesehen!,i haven't seen you all day!,,Original,AuntRunOffStart
line:2ee5c6,sorry...,sorry...,,Player,AuntRunOffStart
line:393e8a,"ich hatte einfach keine Lust\nzu reden, glaub ich","i just, didn't feel like\ntalking i guess",,Player,AuntRunOffStart
line:8bc66d,"hmm, was ist los?",hmm what's going on?,,Original,AuntRunOffStart
line:68da3e,ist nichts!,it's nothing!,,Player,AuntRunOffStart
line:cc2ab6,äh,um,,Player,AuntRunOffStart
line:2a2a55,ich warte einfach nur\nauf einen Anruf,i've just been waiting\naround for a call,Jumps to AuntIntroEnd.,Player,AuntRunOffStart
line:69f366,"hey, wie geht's?",hey how's it going?,Only if the player talks to the Aunt first.,Original,AuntIntroStart
line:f3c007,hab dich den ganzen Tag nicht gesehen,i haven't seen you all day,,Original,AuntIntroStart
line:13113d,warst du beschäftigt?,you been busy?,,Original,AuntIntroStart
line:15e70c,"äh, irgendwie","uh, kinda",,Player,AuntIntroStart
line:04670a,"na ja, nicht wirklich","well, not really",,Player,AuntIntroStart
line:de5495,ich warte einfach nur\nauf einen Anruf,i've just been waiting\naround for a call,,Player,AuntIntroStart
line:ac2e52,"na, da liegt dein Problem!",well there's your problem!,,Original,AuntIntroEnd
line:122c03,hier draußen gibt's keinen Empfang,there's no reception out here,,Original,AuntIntroEnd
line:895cf8,warte...,wait...,,Player,AuntIntroEnd
line:85a826,WAS!?,WHAT!?,,Player,AuntIntroEnd
line:264290,"ja, ich meine, so gut wie\nkein Empfang","yeah, i mean, pretty much\nno reception",,Original,AuntIntroEnd
line:8a1b8c,am <color=red>Habichtsgipfel</color> hast du\nvielleicht welchen,you might be able to get\nsome at <color=red>Hawk Peak</color>,,Original,AuntIntroEnd
line:c175a4,"oh... ja, wohl schon",oh... yeah i guess,,Player,AuntIntroEnd
line:f8213b,"aber das ist doch ziemlich\nweit, oder?",but that's pretty far\nisn't it?,,Player,AuntIntroEnd
line:b5e4af,so weit ist das gar nicht!,it's not that far!,,Original,AuntIntroEnd
line:2adc6a,wir sind alle schon\nmal hingewandert,we've all made the\ntrek before,,Original,AuntIntroEnd
line:2cc023,"ich dachte, du wärst\nschon längst hin",i figured you would have\ngone already,,Original,AuntIntroEnd
line:22169d,oh... ja,oh... yeah,,Player,AuntIntroEnd
line:87a10b,ich wollte schon längst mal hin,i've been meaning to go,,Player,AuntIntroEnd
line:bb94a0,aber,but,,Player,AuntIntroEnd
line:97eccf,ich hab einfach,i just,,Player,AuntIntroEnd
